Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Loadcase,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-67.2,9.5,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",8.8,-55.1,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-42.2,-61.4,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-43.5,-57.9,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-94.5,-64.2,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-10.7,7.7,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-10.7,7.7,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-44.9,5.9,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-44.9,5.9,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",9.3,23.0,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-4.7,9.9,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-25.3,21.1,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-39.3,8.1,0.0,0.0,0.0,0.0
A8,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,49.4,12.0,0.0,0.0,0.0,0.0
,,,,3 Dead,24.6,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,24.6,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,59.0,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,69.8,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",-241.7,-0.1,0.0,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",-241.7,-0.1,0.0,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",-300.6,-3.0,0.0,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",-300.6,-3.0,0.0,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",-6.2,-57.9,0.0,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-62.2,-63.8,0.0,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-65.3,-60.9,0.0,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-121.3,-66.8,0.0,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",135.1,12.2,0.0,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",135.1,12.2,0.0,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",96.5,10.2,0.0,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",96.5,10.2,0.0,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",4.7,21.7,0.0,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-9.7,8.0,0.0,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-34.4,19.7,0.0,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-48.8,6.1,0.0,0.0,0.0,0.0
A9,0.0000,Span 1 Rh Column (UKB 762x267x134),90.0000,1 Self weight - excluding slabs,49.7,12.1,-0.1,0.0,0.0,0.0
,,,,3 Dead,25.7,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,25.7,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,61.7,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,73.0,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",205.8,18.0,-120.6,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",205.8,18.0,-120.6,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",158.1,7.3,-119.5,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",158.1,7.3,-119.5,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",11.5,-41.3,3.1,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-45.9,-47.3,3.2,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-36.3,-52.1,4.2,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-93.7,-58.0,4.3,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-183.2,-12.2,76.6,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-183.2,-12.2,76.6,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-214.5,-19.2,77.3,0.0,0.0,0.0
,,,,"19 Wind 180,Cpi 0.2,-Cpe",-214.5,-19.2,77.3,0.0,0.0,0.0
,,,,"20 Wind 270,Cpi -0.3,+Cpe",4.2,19.7,0.1,0.0,0.0,0.0
,,,,"21 Wind 270,Cpi -0.3,-Cpe",-10.3,6.1,0.1,0.0,0.0,0.0
,,,,"22 Wind 270,Cpi 0.2,+Cpe",-27.5,12.6,0.8,0.0,0.0,0.0
,,,,"23 Wind 270,Cpi 0.2,-Cpe",-41.9,-1.0,0.9,0.0,0.0,0.0
A10,180.0000,Span 1 Lh Column (UKB 762x267x134),-90.0000,1 Self weight - excluding slabs,49.7,12.1,0.1,0.0,0.0,0.0
,,,,3 Dead,25.7,10.1,0.0,0.0,0.0,0.0
,,,,4 Services,25.7,10.1,0.0,0.0,0.0,0.0
,,,,5 Imposed,61.7,24.2,0.0,0.0,0.0,0.0
,,,,6 Snow,73.0,28.7,0.0,0.0,0.0,0.0
,,,,"8 Wind 0,Cpi -0.3,+Cpe",206.1,18.0,120.8,0.0,0.0,0.0
,,,,"9 Wind 0,Cpi -0.3,-Cpe",206.1,18.0,120.8,0.0,0.0,0.0
,,,,"10 Wind 0,Cpi 0.2,+Cpe",158.4,7.3,119.7,0.0,0.0,0.0
,,,,"11 Wind 0,Cpi 0.2,-Cpe",158.4,7.3,119.7,0.0,0.0,0.0
,,,,"12 Wind 90,Cpi -0.3,+Cpe",6.2,29.8,-0.2,0.0,0.0,0.0
,,,,"13 Wind 90,Cpi -0.3,-Cpe",-15.6,9.2,-0.2,0.0,0.0,0.0
,,,,"14 Wind 90,Cpi 0.2,+Cpe",-41.6,19.1,-1.3,0.0,0.0,0.0
,,,,"15 Wind 90,Cpi 0.2,-Cpe",-63.5,-1.5,-1.3,0.0,0.0,0.0
,,,,"16 Wind 180,Cpi -0.3,+Cpe",-183.3,-12.2,-76.6,0.0,0.0,0.0
,,,,"17 Wind 180,Cpi -0.3,-Cpe",-183.3,-12.2,-76.6,0.0,0.0,0.0
,,,,"18 Wind 180,Cpi 0.2,+Cpe",-214.6,-19.2,-77.3,0.0,0.0,0.0
