Foundation Reactions,,,,,,,,,,
,,,,,,,,,,
"Foundation Reactions, First-order linear, Strength Factors",,,,,,,,,,
,,,,,,,,,,
Supports,,,,,,,,,,
Support,"Support
rotation
[°]",Column Ref.,"Column
rotation
[°]",Combination,Reactions,,,,,
,,,,,"Fvert
[kN]","Fmajor
[kN]","Fminor
[kN]","Mmajor
[kNm]","Mminor
[kNm]","Mtor
[kNm]"
,,,,29 (Final) Cb5.8-D+1.4W,19.6,-7.8,-10.7,0.0,0.0,0.0
,,,,30 (Final) Cb5.9-D+1.4W,30.2,10.4,8.4,0.0,0.0,0.0
,,,,31 (Final) Cb5.10-D+1.4W,31.1,10.3,8.4,0.0,0.0,0.0
,,,,32 (Final) Cb5.11-D+1.4W,24.5,18.2,4.6,0.0,0.0,0.0
,,,,33 (Final) Cb5.12-D+1.4W,25.4,18.2,4.6,0.0,0.0,0.0
,,,,34 (Final) Cb5.13-D+1.4W,38.0,3.1,-4.1,0.0,0.0,0.0
,,,,35 (Final) Cb5.14-D+1.4W,36.8,3.1,-4.1,0.0,0.0,0.0
,,,,36 (Final) Cb5.15-D+1.4W,32.4,11.0,-7.9,0.0,0.0,0.0
,,,,37 (Final) Cb5.16-D+1.4W,31.1,11.0,-7.9,0.0,0.0,0.0
SUP 2/E,0.0000,SC 2/E (UC 254x254x89),0.0000,1 (Final) Cb1-1.4D+1.6I+1.6RI,110.9,0.0,0.3,0.0,0.0,0.0
,,,,2 (Final) Cb1.1-1.4D+1.6I+1.6RI+NHFDir1+,110.9,-0.2,0.0,0.0,0.0,0.0
,,,,3 (Final) Cb1.2-1.4D+1.6I+1.6RI+NHFDir1-,110.8,0.2,0.7,0.0,0.0,0.0
,,,,4 (Final) Cb1.3-1.4D+1.6I+1.6RI+NHFDir2+,110.9,-0.4,0.3,0.0,0.0,0.0
,,,,5 (Final) Cb1.4-1.4D+1.6I+1.6RI+NHFDir2-,110.9,0.3,0.3,0.0,0.0,0.0
,,,,6 (Final) Cb3.1-1.2D+1.2I+1.2RI+1.2W,86.9,15.0,-1.1,0.0,0.0,0.0
,,,,7 (Final) Cb3.2-1.2D+1.2I+1.2RI+1.2W,86.9,15.0,-1.1,0.0,0.0,0.0
,,,,8 (Final) Cb3.3-1.2D+1.2I+1.2RI+1.2W,85.9,28.6,-4.6,0.0,0.0,0.0
,,,,9 (Final) Cb3.4-1.2D+1.2I+1.2RI+1.2W,85.9,28.6,-4.6,0.0,0.0,0.0
,,,,10 (Final) Cb3.5-1.2D+1.2I+1.2RI+1.2W,86.9,-33.0,-5.6,0.0,0.0,0.0
,,,,11 (Final) Cb3.6-1.2D+1.2I+1.2RI+1.2W,86.9,-33.0,-5.6,0.0,0.0,0.0
,,,,12 (Final) Cb3.7-1.2D+1.2I+1.2RI+1.2W,85.9,-19.5,-9.1,0.0,0.0,0.0
,,,,13 (Final) Cb3.8-1.2D+1.2I+1.2RI+1.2W,86.0,-19.5,-9.1,0.0,0.0,0.0
,,,,14 (Final) Cb3.9-1.2D+1.2I+1.2RI+1.2W,86.6,16.8,8.1,0.0,0.0,0.0
,,,,15 (Final) Cb3.10-1.2D+1.2I+1.2RI+1.2W,86.6,16.8,8.1,0.0,0.0,0.0
,,,,16 (Final) Cb3.11-1.2D+1.2I+1.2RI+1.2W,85.6,30.3,4.6,0.0,0.0,0.0
,,,,17 (Final) Cb3.12-1.2D+1.2I+1.2RI+1.2W,85.6,30.3,4.6,0.0,0.0,0.0
,,,,18 (Final) Cb3.13-1.2D+1.2I+1.2RI+1.2W,86.9,5.1,-3.2,0.0,0.0,0.0
,,,,19 (Final) Cb3.14-1.2D+1.2I+1.2RI+1.2W,86.9,5.1,-3.2,0.0,0.0,0.0
,,,,20 (Final) Cb3.15-1.2D+1.2I+1.2RI+1.2W,86.0,18.6,-6.7,0.0,0.0,0.0
,,,,21 (Final) Cb3.16-1.2D+1.2I+1.2RI+1.2W,85.9,18.6,-6.7,0.0,0.0,0.0
